tf,rank,viper,prior_chipseq,prior_expression,min_fdr,mean_nes,n_methods_supporting,method_consistency,both_families_positive,prior_plausible_club_tf,tier
KDM5B,55,3.7584113276051183,3.3211945569528725,0.9288671271515117,0.0688025474215136,3.7584113276051183,1,,True,False,candidate
FOXA3,56,3.683264126445435,,3.683264126445435,0.0241043410759635,3.683264126445435,1,,False,False,candidate
ZNF664,57,3.6587166186736515,,3.6587166186736515,0.0584954510549955,3.6587166186736515,1,,False,False,candidate
ZNF316,58,3.6363935286092186,,3.6363935286092186,0.0237762001101289,3.6363935286092186,1,,False,False,candidate
ZBTB46,59,3.6127620765469186,,3.6127620765469186,0.0445579635566951,3.6127620765469186,1,,False,False,candidate
ZNF510,60,3.5538418379191654,,3.5538418379191654,0.0305298113686292,3.5538418379191654,1,,False,False,candidate
MBNL2,61,3.54432689124281,,3.54432689124281,0.0492287148841122,3.54432689124281,1,,False,False,candidate
ZFHX3,62,3.5415822599037683,,3.5415822599037683,0.0353181108033505,3.5415822599037683,1,,False,False,candidate
USF1,63,3.541495856760347,2.9508174207662856,1.3749109371031414,0.0335614074546259,3.541495856760347,1,,True,False,candidate
NFATC2,64,3.528721102073503,,3.528721102073503,0.077071425682943,3.528721102073503,1,,False,False,candidate
MYB,65,3.4649994692468784,2.533637366026366,2.3557606369552215,0.0907578513655834,3.4649994692468784,1,,True,False,candidate
ZFAT,66,3.4609160379201582,,3.4609160379201582,0.0551523874275149,3.4609160379201582,1,,False,False,candidate
PATZ1,67,3.4517738912005798,,3.4517738912005798,0.0772187940018128,3.4517738912005798,1,,False,False,candidate
ESRRG,68,3.4485369619631756,,3.4485369619631756,0.0627676938526892,3.4485369619631756,1,,False,False,candidate
MLXIP,69,3.4430247477536997,,3.4430247477536997,0.0492287148841122,3.4430247477536997,1,,False,False,candidate
LCOR,70,3.439144328456025,,3.439144328456025,0.0673728320322242,3.439144328456025,1,,False,False,candidate
ZNF75D,71,3.439109043510845,,3.439109043510845,0.0316404334848954,3.439109043510845,1,,False,False,candidate
LBX2,72,3.4267475132000755,,3.4267475132000755,0.0707156470663877,3.4267475132000755,1,,False,False,candidate
ZNF396,73,3.4254803145819896,,3.4254803145819896,0.010677088134454,3.4254803145819896,1,,False,False,candidate
ZBTB40,74,3.4119824790175555,,3.4119824790175555,0.0474534353640657,3.4119824790175555,1,,False,False,candidate
CXXC4,75,3.409028547113284,2.6696480141609733,1.5459596235055681,0.023514053714492,3.409028547113284,1,,True,False,candidate
ZNF341,76,3.407236238375998,,3.407236238375998,0.0357431772310572,3.407236238375998,1,,False,False,candidate
ZNF776,77,3.350635732455668,,3.350635732455668,0.0345342392487924,3.350635732455668,1,,False,False,candidate
AHR,78,3.3395730567414157,1.6137562201688767,3.2360938325197988,0.1494788910373082,3.3395730567414157,1,,True,False,weak
ZBTB10,79,3.327117741907839,,3.327117741907839,0.0452769707538528,3.327117741907839,1,,False,False,candidate
RORC,80,3.3119565368315675,,3.3119565368315675,0.0936585449801153,3.3119565368315675,1,,False,False,candidate
HIVEP2,81,3.296006179313149,,3.296006179313149,0.0796597760165706,3.296006179313149,1,,False,False,candidate
THRB,82,3.2950134742364465,,3.2950134742364465,0.1125459822600272,3.2950134742364465,1,,False,False,weak
ZNF646,83,3.261622567998471,,3.261622567998471,0.0832241475130714,3.261622567998471,1,,False,False,candidate
ZNF780A,84,3.2566004837422775,,3.2566004837422775,0.0300087718309088,3.2566004837422775,1,,False,False,candidate
MESP2,85,3.247589549508353,,3.247589549508353,0.0386552807247791,3.247589549508353,1,,False,False,candidate
ZNF780B,86,3.224300805888138,,3.224300805888138,0.0597701812770709,3.224300805888138,1,,False,False,candidate
SOX5,87,3.220492563019216,,3.220492563019216,0.0418949574101664,3.220492563019216,1,,False,False,candidate
SRCAP,88,3.216510559075512,,3.216510559075512,0.0827231490111701,3.216510559075512,1,,False,False,candidate
CREB3,89,3.1952668404641624,2.1485244136377823,2.171722409049692,0.0773014431924704,3.1952668404641624,1,,True,False,candidate
STAT5A,90,3.185005259403534,2.5970989041201684,1.4708387683183368,0.0790291400882936,3.185005259403534,1,,True,False,candidate
BACH1,91,3.1838693912047256,0.5761270417688861,3.1532020462711627,0.0886732562225101,3.1838693912047256,1,,True,False,candidate
FOXJ3,92,3.1477110340351695,,3.1477110340351695,0.071621115013949,3.1477110340351695,1,,False,False,candidate
TET2,93,3.132072607531721,,3.132072607531721,0.0437177458522362,3.132072607531721,1,,False,False,candidate
ZBTB37,94,3.128429385498707,,3.128429385498707,0.1017481847295967,3.128429385498707,1,,False,False,weak
GZF1,95,3.1011759541871156,,3.1011759541871156,0.0805696286950918,3.1011759541871156,1,,False,False,candidate
OLIG1,96,3.0886813676925566,,3.0886813676925566,0.1168761392786703,3.0886813676925566,1,,False,False,weak
ZNF778,97,3.0284197478501453,,3.0284197478501453,0.0479030310585496,3.0284197478501453,1,,False,False,candidate
MYSM1,98,3.0104157828497278,,3.0104157828497278,0.0964371799170792,3.0104157828497278,1,,False,False,candidate
MXD4,99,3.009184387528113,,3.009184387528113,0.0679092750082344,3.009184387528113,1,,False,False,candidate
SGSM2,100,3.0064856401171722,,3.0064856401171722,0.0443373360596744,3.0064856401171722,1,,False,False,candidate
GLIS3,101,2.913767724855285,,2.913767724855285,0.1421133253319595,2.913767724855285,1,,False,False,weak
SPDEF,102,2.908409848320935,,2.908409848320935,0.1064854294462974,2.908409848320935,1,,False,False,weak
RUNX1,103,2.9032971136570205,2.9120615087227426,0.3592214516095252,0.0407191308918859,2.9032971136570205,1,,True,False,candidate
TET3,104,2.8949825443850417,,2.8949825443850417,0.0534894559557859,2.8949825443850417,1,,False,False,candidate
ZNF564,105,2.893497217511228,,2.893497217511228,0.0679641950859813,2.893497217511228,1,,False,False,candidate
ZNF782,106,2.8866308487332737,,2.8866308487332737,0.1483861361908355,2.8866308487332737,1,,False,False,weak
E2F5,107,2.882761579291957,2.0160982619324983,0.9861415515644303,0.1000907469053023,2.882761579291957,1,,True,False,weak
KMT2B,108,2.8732124898932905,-0.0299169807007762,2.0615850160942064,0.1243647608244762,2.8732124898932905,1,,False,False,weak
CREBL2,109,2.8651460338170165,,2.8651460338170165,0.1023292798195961,2.8651460338170165,1,,False,False,weak
IRF1,110,2.8640127423609365,2.035473775509124,2.0136783190518575,0.352766056289904,2.8640127423609365,1,,True,False,weak
ZNF687,111,2.839431506985301,,2.839431506985301,0.1456260792820268,2.839431506985301,1,,False,False,weak
ZFHX2,112,2.8386442824942737,,2.8386442824942737,0.0979701404556529,2.8386442824942737,1,,False,False,candidate
CXXC5,113,2.8352893024593513,,2.8352893024593513,0.0825998148144577,2.8352893024593513,1,,False,False,candidate
ASH1L,114,2.8174942692291074,,2.8174942692291074,0.1231761890424771,2.8174942692291074,1,,False,False,weak
GATAD2B,115,2.8162671096804557,,2.8162671096804557,0.107268011835908,2.8162671096804557,1,,False,False,weak
KDM2A,116,2.808586570127815,,2.808586570127815,0.1004366820488453,2.808586570127815,1,,False,False,weak
ARHGAP35,117,2.8030479916604043,,2.8030479916604043,0.0403835652392385,2.8030479916604043,1,,False,False,candidate
ZNF808,118,2.774016218023709,,2.774016218023709,0.0974141604323349,2.774016218023709,1,,False,False,candidate
NFAT5,119,2.7679135904882117,,2.7679135904882117,0.1072937818581906,2.7679135904882117,1,,False,False,weak
GLMP,120,2.765051762990908,,2.765051762990908,0.1366011685921245,2.765051762990908,1,,False,False,weak
ZNF507,121,2.7628635786693176,,2.7628635786693176,0.1710810950637996,2.7628635786693176,1,,False,False,weak
ZNF621,122,2.7592394006495002,,2.7592394006495002,0.0795365267960101,2.7592394006495002,1,,False,False,candidate
NACC2,123,2.75080958042524,,2.75080958042524,0.0856649787409087,2.75080958042524,1,,False,False,candidate
ZNF70,124,2.745420587063581,,2.745420587063581,0.1384183408200542,2.745420587063581,1,,False,False,weak
ZNF20,125,2.728480932939915,,2.728480932939915,0.1155612081466414,2.728480932939915,1,,False,False,weak
JAZF1,126,2.726987062435832,,2.726987062435832,0.1633226268894014,2.726987062435832,1,,False,False,weak
PRDM2,127,2.7177373590614087,,2.7177373590614087,0.183060633233941,2.7177373590614087,1,,False,False,weak
ATF6,128,2.716103295900403,,2.716103295900403,0.1190839198305875,2.716103295900403,1,,False,False,weak
GLYR1,129,2.707529976706214,0.4944099992483915,2.591351750474335,0.1659303149666952,2.707529976706214,1,,True,False,weak
KMT2A,130,2.6976239662557626,0.933120432299686,2.485865175004636,0.1125459822600272,2.6976239662557626,1,,True,False,weak
ZNF24,131,2.696969527889851,1.3296952358764738,2.3497184803475326,0.2520684057361571,2.696969527889851,1,,True,False,weak
IRX5,132,2.693630180874236,,2.693630180874236,0.1327565490144773,2.693630180874236,1,,False,False,weak
ZNF432,133,2.689562246578898,,2.689562246578898,0.1478670500082564,2.689562246578898,1,,False,False,weak
GPBP1L1,134,2.674229161738399,,2.674229161738399,0.1110886827812936,2.674229161738399,1,,False,False,weak
MZF1,135,2.6614777610496603,,2.6614777610496603,0.1519536234571439,2.6614777610496603,1,,False,False,weak
ZSCAN5A,136,2.660260481153705,,2.660260481153705,0.0604163308750489,2.660260481153705,1,,False,False,candidate
ZBTB4,137,2.652865914676479,,2.652865914676479,0.1389263173324593,2.652865914676479,1,,False,False,weak
MGA,138,2.6466341676527714,,2.6466341676527714,0.2240973251921273,2.6466341676527714,1,,False,False,weak
USF3,139,2.6275497922778297,,2.6275497922778297,0.0996891306122522,2.6275497922778297,1,,False,False,candidate
ZNF484,140,2.6215563404309568,,2.6215563404309568,0.1648586049985163,2.6215563404309568,1,,False,False,weak
BARHL1,141,2.620497644326991,,2.620497644326991,0.2045951446271646,2.620497644326991,1,,False,False,weak
ZNF384,142,2.6081019905588425,1.8356404042589678,1.846666046784999,0.2236984833064618,2.6081019905588425,1,,True,False,weak
MEF2D,143,2.604140617410111,,2.604140617410111,0.1570736942386133,2.604140617410111,1,,False,False,weak
ZNF33A,144,2.6018151938667193,,2.6018151938667193,0.2352059444374461,2.6018151938667193,1,,False,False,weak
ZBTB21,145,2.5965891192877097,,2.5965891192877097,0.1548332821961001,2.5965891192877097,1,,False,False,weak
PRR12,146,2.59603408374745,,2.59603408374745,0.1795395805121989,2.59603408374745,1,,False,False,weak
ZNF37A,147,2.5956977249912003,,2.5956977249912003,0.1461108707173087,2.5956977249912003,1,,False,False,weak
ARID2,148,2.5840590876038694,0.7767611293300152,2.540761370985668,0.1528417981900901,2.5840590876038694,1,,True,False,weak
ZKSCAN8,149,2.5755988154897684,,2.5755988154897684,0.0998715488810425,2.5755988154897684,1,,False,False,candidate
ZNF444,150,2.572901643030186,,2.572901643030186,0.2432628780566714,2.572901643030186,1,,False,False,weak
ZNF585B,151,2.56174616195254,,2.56174616195254,0.247195186421408,2.56174616195254,1,,False,False,weak
RLF,152,2.5446995103657413,,2.5446995103657413,0.1366011685921245,2.5446995103657413,1,,False,False,weak
IRX3,153,2.52535157061861,,2.52535157061861,0.1407676597231185,2.52535157061861,1,,False,False,weak
BAZ2A,154,2.5140886874649055,,2.5140886874649055,0.1589878284490134,2.5140886874649055,1,,False,False,weak
HNF1B,155,2.508136990976161,1.4903298007191708,2.0166570283612706,0.2613840777072671,2.508136990976161,1,,True,False,weak
ZNF254,156,2.5070869032197556,,2.5070869032197556,0.1241707784598976,2.5070869032197556,1,,False,False,weak
ZNF417,157,2.5031236089902924,,2.5031236089902924,0.1424478206017455,2.5031236089902924,1,,False,False,weak
ARNT,158,2.4997403540480083,1.576541323034674,1.9390307997043699,0.319627467776334,2.4997403540480083,1,,True,False,weak
ZNF555,159,2.4947192308626787,,2.4947192308626787,0.1873697748249755,2.4947192308626787,1,,False,False,weak
ZNF736,160,2.4742033409313606,,2.4742033409313606,0.1245634146519206,2.4742033409313606,1,,False,False,weak
ZNF652,161,2.472555119103866,0.2543177800959619,2.293282700757921,0.2812812341432752,2.472555119103866,1,,True,False,weak
ZBTB34,162,2.453373268581267,,2.453373268581267,0.243462135064781,2.453373268581267,1,,False,False,weak
PURA,163,2.445951753295271,,2.445951753295271,0.0998715488810425,2.445951753295271,1,,False,False,candidate
ZXDB,164,2.4434266227703003,,2.4434266227703003,0.3082933925755953,2.4434266227703003,1,,False,False,weak
ZXDC,165,2.4315261465514064,,2.4315261465514064,0.1998804119719649,2.4315261465514064,1,,False,False,weak
ZNF264,166,2.4056959439776597,,2.4056959439776597,0.1097169184506315,2.4056959439776597,1,,False,False,weak
ZNF282,167,2.3967030303838763,,2.3967030303838763,0.2279316810277647,2.3967030303838763,1,,False,False,weak
ZNF76,168,2.3620520766375117,,2.3620520766375117,0.322040410222862,2.3620520766375117,1,,False,False,weak
ZNF493,169,2.359560943204807,,2.359560943204807,0.1401533145525928,2.359560943204807,1,,False,False,weak
RBAK,170,2.3593858347344137,,2.3593858347344137,0.2088460071137456,2.3593858347344137,1,,False,False,weak
ZNF445,171,2.358665735371084,,2.358665735371084,0.197070636729512,2.358665735371084,1,,False,False,weak
MEF2A,172,2.3502874317475215,1.5703472588245808,1.749035193643599,0.3753974508257286,2.3502874317475215,1,,True,False,weak
ZBTB18,173,2.338920274799622,,2.338920274799622,0.1689726675891797,2.338920274799622,1,,False,False,weak
MBD1,174,2.335289465995684,,2.335289465995684,0.350584802154588,2.335289465995684,1,,False,False,weak
SP140L,175,2.3295716524184695,,2.3295716524184695,0.1615717488519767,2.3295716524184695,1,,False,False,weak
ZNF800,176,2.325075366040543,,2.325075366040543,0.2505821189286888,2.325075366040543,1,,False,False,weak
TEAD1,177,2.3197208223189585,1.5665141061121122,1.437652214730668,0.2307334301845425,2.3197208223189585,1,,True,False,weak
REPIN1,178,2.3030112585925266,,2.3030112585925266,0.1519536234571439,2.3030112585925266,1,,False,False,weak
ZNF449,179,2.2934246215871728,,2.2934246215871728,0.3147806849528491,2.2934246215871728,1,,False,False,weak
RFX3,180,2.2829450083167404,,2.2829450083167404,0.2307444041153033,2.2829450083167404,1,,False,False,weak
SP110,181,2.277032834347181,,2.277032834347181,0.3274431886641361,2.277032834347181,1,,False,False,weak
ZNF585A,182,2.269508334493323,,2.269508334493323,0.1833870039160623,2.269508334493323,1,,False,False,weak
ZBTB11,183,2.2580423497344286,-0.0687101897748382,2.004949430753134,0.2024898877204199,2.2580423497344286,1,,False,False,weak
PURB,184,2.2559731407565358,,2.2559731407565358,0.2683118798946348,2.2559731407565358,1,,False,False,weak
LHX8,185,2.2503950301316524,,2.2503950301316524,0.2976871691789622,2.2503950301316524,1,,False,False,weak
GTF2I,186,2.2413744357868137,,2.2413744357868137,0.0890580444315988,2.2413744357868137,1,,False,False,candidate
ZNF142,187,2.2402701230829787,,2.2402701230829787,0.351641277796698,2.2402701230829787,1,,False,False,weak
ZMAT1,188,2.2400925549510924,,2.2400925549510924,0.1648586049985163,2.2400925549510924,1,,False,False,weak
ZFPM1,189,2.237885517843764,,2.237885517843764,0.3162290681222516,2.237885517843764,1,,False,False,weak
ZNF398,190,2.2345161181178734,,2.2345161181178734,0.2241221845498163,2.2345161181178734,1,,False,False,weak
ZNF3,191,2.222029780569752,,2.222029780569752,0.3344834793147634,2.222029780569752,1,,False,False,weak
ZNF217,192,2.2071483080689056,2.1763068227511675,0.9628661207764923,0.1625199209495071,2.2071483080689056,1,,True,False,weak
IKZF2,193,2.203546079155244,,2.203546079155244,0.1851034208959564,2.203546079155244,1,,False,False,weak
PRDM4,194,2.2004257455944014,,2.2004257455944014,0.0746546727311412,2.2004257455944014,1,,False,False,candidate
MBD6,195,2.1942415915769593,,2.1942415915769593,0.2762885106540786,2.1942415915769593,1,,False,False,weak
ZNF740,196,2.190393979320431,0.6013602988570794,2.049133155557107,0.3178196312132561,2.190393979320431,1,,True,False,weak
LTF,197,2.1787082826720705,,2.1787082826720705,0.296790679016769,2.1787082826720705,1,,False,False,weak
IRF9,198,2.172012535825088,-0.4081452518450564,2.1877469901142126,0.3064531939548053,2.172012535825088,1,,False,False,weak
OLIG2,199,2.13087531566547,1.2075964990418402,1.6848859766986977,0.3593509031741665,2.13087531566547,1,,True,False,weak
ZNF429,200,2.127328357236402,,2.127328357236402,0.1641098736003282,2.127328357236402,1,,False,False,weak
CREBZF,201,2.1128557626526288,,2.1128557626526288,0.324487530460877,2.1128557626526288,1,,False,False,weak
TBXT,202,2.0938204137239786,1.3277140918586436,1.5668028508491436,0.3316906375511324,2.0938204137239786,1,,True,False,weak
ZNF274,203,2.0743157060511774,1.647455466262531,1.0973988854168657,0.4652044019745309,2.0743157060511774,1,,True,False,weak
ZNF486,204,2.0706114022496593,,2.0706114022496593,0.3147806849528491,2.0706114022496593,1,,False,False,weak
BCL6,205,2.0681250583734956,1.9419371788092092,1.1154666143204444,0.2768625023370079,2.0681250583734956,1,,True,False,weak
ZNF737,206,2.0550274497879526,,2.0550274497879526,0.2562778412380043,2.0550274497879526,1,,False,False,weak
ZBTB22,207,2.054266841525174,,2.054266841525174,0.1331417643236112,2.054266841525174,1,,False,False,weak
ZNF529,208,2.0516950514734,,2.0516950514734,0.2151897501852491,2.0516950514734,1,,False,False,weak
MECP2,209,2.04608653047278,,2.04608653047278,0.320389254909745,2.04608653047278,1,,False,False,weak
ZNF148,210,2.0333871579067355,,2.0333871579067355,0.2934335955074733,2.0333871579067355,1,,False,False,weak
DOT1L,211,2.0315688112860273,,2.0315688112860273,0.2900949466980573,2.0315688112860273,1,,False,False,weak
FOXJ1,212,2.022248257128987,,2.022248257128987,0.3573014898419734,2.022248257128987,1,,False,False,weak
SP100,213,2.0107299614366685,,2.0107299614366685,0.3078701349789393,2.0107299614366685,1,,False,False,weak
ZBTB38,214,2.009754145821045,,2.009754145821045,0.2543955510205108,2.009754145821045,1,,False,False,weak
SPEN,215,2.008735087451686,,2.008735087451686,0.2326777232407178,2.008735087451686,1,,False,False,weak
RUNX2,216,2.0050398534142473,1.9570130335820357,0.5730637934173535,0.1661116712064103,2.0050398534142473,1,,True,False,weak
HES6,217,1.9970015741222642,,1.9970015741222642,0.3009771627878303,1.9970015741222642,1,,False,False,weak
ZNF44,218,1.9864953266845182,,1.9864953266845182,0.2335716989322982,1.9864953266845182,1,,False,False,weak
TMF1,219,1.9840257300588193,,1.9840257300588193,0.2543955510205108,1.9840257300588193,1,,False,False,weak
BAZ2B,220,1.9821247799234152,,1.9821247799234152,0.321540466172012,1.9821247799234152,1,,False,False,weak
ZNF799,221,1.9786441868127378,,1.9786441868127378,0.4000641224917389,1.9786441868127378,1,,False,False,weak
FIZ1,222,1.9750513239327305,,1.9750513239327305,0.2906525843166148,1.9750513239327305,1,,False,False,weak
ZNF599,223,1.972198036606224,,1.972198036606224,0.2307509028448731,1.972198036606224,1,,False,False,weak
KLF12,224,1.9702512047196028,,1.9702512047196028,0.2949762677717304,1.9702512047196028,1,,False,False,weak
SNAPC4,225,1.9678840445511585,1.063317894255808,1.6334594079300861,0.3772657595271952,1.9678840445511585,1,,True,False,weak
E4F1,226,1.9658646018410746,,1.9658646018410746,0.3153036849498991,1.9658646018410746,1,,False,False,weak
PLSCR1,227,1.9635068740591535,,1.9635068740591535,0.2582246124813568,1.9635068740591535,1,,False,False,weak
JRK,228,1.9555610475339935,,1.9555610475339935,0.2506502706381091,1.9555610475339935,1,,False,False,weak
AKNA,229,1.9507277608648068,,1.9507277608648068,0.3278183587090293,1.9507277608648068,1,,False,False,weak
STAT5B,230,1.9451804308490561,1.1935076441621624,1.4986455130661172,0.392244258636951,1.9451804308490561,1,,True,False,weak
ZNF280D,231,1.9352183811389159,,1.9352183811389159,0.3053228492497003,1.9352183811389159,1,,False,False,weak
GRHL2,232,1.9168603206972423,0.5081204722959649,1.5683743370926437,0.1426676013852377,1.9168603206972423,1,,True,False,weak
GMEB2,233,1.9151326952154817,,1.9151326952154817,0.3110922514734237,1.9151326952154817,1,,False,False,weak
ZNF746,234,1.9150166607877521,,1.9150166607877521,0.3252160039733676,1.9150166607877521,1,,False,False,weak
WIZ,235,1.9084480477157504,,1.9084480477157504,0.4577852478490857,1.9084480477157504,1,,False,False,weak
ZNF12,236,1.903073769039826,,1.903073769039826,0.4249786045714229,1.903073769039826,1,,False,False,weak
MEF2C,237,1.8926192819946177,1.2577126876017497,1.41354674785918,0.4455045015928748,1.8926192819946177,1,,True,False,weak
ZNF787,238,1.87662684648489,,1.87662684648489,0.4269309909444219,1.87662684648489,1,,False,False,weak
NRL,239,1.8714508392289348,,1.8714508392289348,0.4198055320030254,1.8714508392289348,1,,False,False,weak
PRDM10,240,1.8673883512990388,,1.8673883512990388,0.2688530592214657,1.8673883512990388,1,,False,False,weak
ZNF841,241,1.8643121980396116,,1.8643121980396116,0.34994420767458,1.8643121980396116,1,,False,False,weak
