tf,contrast,method,nes,n_networks,fdr
CPEB1,basal_to_club,viper,-0.14589484739115505,2.0,0.9542370815061856
CPEB1,basal_to_goblet,viper,-0.5665030461877467,2.0,0.8267525427117774
CPXCR1,basal_to_ciliated,viper,10.12432764939446,3.0,8.629611910054239e-12
CPXCR1,basal_to_club,viper,0.9098252268846296,1.0,0.5236452237061864
CPXCR1,basal_to_goblet,viper,2.289485035001171,3.0,0.1557257798776014
CREB1,basal_to_ciliated,viper,-7.6961549549176,6.0,0.000132241521846
CREB1,basal_to_club,viper,-6.407273649553595,6.0,0.0005452830151792
CREB1,basal_to_goblet,viper,-6.460574515237112,6.0,0.0021832890053165
CREB3,basal_to_ciliated,viper,8.591348584518112,4.0,1.0953535515609534e-06
CREB3,basal_to_club,viper,3.1952668404641624,4.0,0.0773014431924704
CREB3,basal_to_goblet,viper,6.456822802668109,4.0,0.0005124768125616
CREB3L1,basal_to_ciliated,viper,-11.982229681960746,4.0,1.846020117194957e-16
CREB3L1,basal_to_club,viper,3.9030218663317635,4.0,0.0409137020044644
CREB3L1,basal_to_goblet,viper,5.218163606600736,4.0,0.0021770636411859
CREB3L2,basal_to_ciliated,viper,-1.3674474714795875,3.0,0.4122124747267458
CREB3L2,basal_to_club,viper,7.32192560381209,3.0,1.686613925007275e-05
CREB3L2,basal_to_goblet,viper,6.768568620552674,3.0,5.8445081129236e-05
CREB3L4,basal_to_ciliated,viper,5.721840827209987,3.0,0.0012730100135944
CREB3L4,basal_to_club,viper,11.816325005005465,3.0,8.951948646088466e-12
CREB3L4,basal_to_goblet,viper,11.526592039776567,3.0,1.616622381244304e-11
CREB5,basal_to_ciliated,viper,-4.415398843615298,3.0,0.0016974465560282
CREB5,basal_to_club,viper,-3.5399909062948955,3.0,0.0187130954237588
CREB5,basal_to_goblet,viper,-3.89828548311073,3.0,0.0111806353795356
CREBL2,basal_to_ciliated,viper,7.599294393346402,3.0,4.104260747952392e-06
CREBL2,basal_to_club,viper,2.8651460338170165,3.0,0.1023292798195961
CREBL2,basal_to_goblet,viper,2.517715874608186,3.0,0.2313792930711209
CREBZF,basal_to_ciliated,viper,2.483481094024235,3.0,0.1237509646937135
CREBZF,basal_to_club,viper,2.1128557626526288,3.0,0.324487530460877
CREBZF,basal_to_goblet,viper,-1.4146942614774083,3.0,0.4416104504041406
CREM,basal_to_ciliated,viper,25.405276472432174,5.0,2.8032883514856522e-62
CREM,basal_to_club,viper,1.5229932999622622,4.0,0.6150773498959687
CREM,basal_to_goblet,viper,3.6699170800173087,5.0,0.1293912573416042
CRX,basal_to_ciliated,viper,-2.3664730947094634,4.0,0.0814410394397107
CRX,basal_to_club,viper,-4.775001021285961,4.0,0.0225298161635161
CRX,basal_to_goblet,viper,-3.582337558032101,4.0,0.0842938377286647
CSRNP1,basal_to_ciliated,viper,-3.509508055456834,2.0,0.0268477516376574
CSRNP1,basal_to_club,viper,0.2993842099554276,2.0,0.8913844003273559
CSRNP1,basal_to_goblet,viper,-1.7763952385717214,2.0,0.3206020517620073
CSRNP2,basal_to_ciliated,viper,9.066238275960673,2.0,1.7721527306545645e-12
CSRNP2,basal_to_club,viper,1.656002821479022,2.0,0.3772657595271952
CSRNP2,basal_to_goblet,viper,1.2724868060448087,2.0,0.5216956765212767
CSRNP3,basal_to_ciliated,viper,-6.177018559902813,2.0,1.8639923349027973e-05
CSRNP3,basal_to_club,viper,-2.794515288307346,2.0,0.1125459822600272
CSRNP3,basal_to_goblet,viper,-2.808853533474641,2.0,0.0916777228458304
CTCF,basal_to_ciliated,viper,0.5142305954635151,6.0,0.1042174932698994
CTCF,basal_to_club,viper,-5.2664367795201334,6.0,0.0088838451462328
CTCF,basal_to_goblet,viper,-7.464257809362295,6.0,0.0001152012148644
CTCFL,basal_to_ciliated,viper,1.636027561684586,5.0,0.1546245091305395
CTCFL,basal_to_club,viper,-7.567830721719588,5.0,0.0001608380983029
CTCFL,basal_to_goblet,viper,-7.50289658019092,5.0,0.0001446644590084
CUX1,basal_to_ciliated,viper,2.9649698669515847,6.0,0.1007858368633517
CUX1,basal_to_club,viper,3.913905937387569,6.0,0.0805545988399891
CUX1,basal_to_goblet,viper,1.293167646831093,6.0,0.339257332760857
CUX2,basal_to_ciliated,viper,-3.491116833195965,3.0,0.0128455681379962
CUX2,basal_to_club,viper,-3.3122585658494588,3.0,0.0719824314598358
CUX2,basal_to_goblet,viper,-3.2196165562497443,3.0,0.0603052392193331
CXXC1,basal_to_ciliated,viper,3.0885403189289726,3.0,0.0677384334636687
CXXC1,basal_to_club,viper,-1.0434209058316573,3.0,0.4591447278112076
CXXC1,basal_to_goblet,viper,-1.792785765194869,3.0,0.4394173715000829
CXXC4,basal_to_ciliated,viper,15.041828423473428,3.0,3.573507801910223e-25
CXXC4,basal_to_club,viper,3.409028547113284,3.0,0.023514053714492
CXXC4,basal_to_goblet,viper,3.9762292875551264,3.0,0.0089299667036685
CXXC5,basal_to_ciliated,viper,5.351763007806366,2.0,0.0003259939745656
CXXC5,basal_to_club,viper,2.8352893024593513,2.0,0.0825998148144577
CXXC5,basal_to_goblet,viper,3.4143535652247734,2.0,0.0265898615709014
DACH1,basal_to_ciliated,viper,11.942381401560247,3.0,2.046633681370605e-18
DACH1,basal_to_club,viper,-0.3955130608707838,3.0,0.8922172338705265
DACH1,basal_to_goblet,viper,-0.14063457088284678,3.0,0.9051439781779964
DACH2,basal_to_ciliated,viper,-9.274520469910847,3.0,1.8320643894415965e-08
DACH2,basal_to_club,viper,-6.133484249135204,3.0,0.0012793403786693
DACH2,basal_to_goblet,viper,-5.522956367105777,3.0,0.0044691240280887
