,dataset_id,donor_id,cell_class,n_cells
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-03|basal,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-03,basal,5836
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-03|ciliated,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-03,ciliated,777
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-03|club,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-03,club,44
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-03|goblet,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-03,goblet,95
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-04|basal,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-04,basal,2618
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-04|ciliated,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-04,ciliated,1411
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-04|club,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-04,club,93
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-04|goblet,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-04,goblet,44
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-06|basal,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-06,basal,1268
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-06|ciliated,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-06,ciliated,686
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-06|goblet,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-06,goblet,48
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-07|basal,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-07,basal,1670
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-07|ciliated,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-07,ciliated,969
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-07|club,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-07,club,123
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-07|goblet,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-07,goblet,72
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-08|basal,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-08,basal,965
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-08|ciliated,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-08,ciliated,492
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-08|club,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-08,club,90
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-09|basal,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-09,basal,2988
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-09|ciliated,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-09,ciliated,629
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-09|club,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-09,club,60
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-09|goblet,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-09,goblet,68
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-10|basal,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-10,basal,2690
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-10|ciliated,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-10,ciliated,1612
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-10|club,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-10,club,69
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-10|goblet,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-10,goblet,170
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-11|basal,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-11,basal,228
Nawijn_2021|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-11|ciliated,Nawijn_2021,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-11,ciliated,864
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T101|basal,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T101,basal,2957
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T101|ciliated,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T101,ciliated,140
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T120|basal,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T120,basal,1342
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T120|ciliated,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T120,ciliated,185
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T120|club,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T120,club,38
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T120|goblet,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T120,goblet,54
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T121|basal,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T121,basal,1223
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T121|ciliated,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T121,ciliated,77
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126|basal,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126,basal,1454
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126|ciliated,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126,ciliated,192
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126|club,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126,club,31
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T137|basal,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T137,basal,911
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T137|ciliated,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T137,ciliated,282
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T153|basal,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T153,basal,2690
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T153|ciliated,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T153,ciliated,251
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T153|club,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T153,club,115
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T153|goblet,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T153,goblet,31
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T154|basal,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T154,basal,1413
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T154|goblet,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T154,goblet,36
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T164|basal,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T164,basal,2913
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T164|ciliated,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T164,ciliated,79
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T165|basal,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T165,basal,1983
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T165|ciliated,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T165,ciliated,51
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T166|basal,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T166,basal,2079
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T166|ciliated,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T166,ciliated,299
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T166|club,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T166,club,51
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T167|basal,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T167,basal,2220
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T167|ciliated,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T167,ciliated,163
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T167|club,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T167,club,30
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T167|goblet,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T167,goblet,75
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T85|basal,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T85,basal,3053
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T85|ciliated,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T85,ciliated,108
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T85|club,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T85,club,53
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T85|goblet,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T85,goblet,94
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T89|basal,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T89,basal,1927
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T89|ciliated,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T89,ciliated,134
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T90|basal,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T90,basal,1873
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T90|ciliated,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T90,ciliated,90
Seibold_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T90|goblet,Seibold_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T90,goblet,40
Teichmann_Meyer_2019|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747290B|ciliated,Teichmann_Meyer_2019,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747290B,ciliated,46
Teichmann_Meyer_2019|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C|ciliated,Teichmann_Meyer_2019,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C,ciliated,55
