,dataset_id,donor_id,cell_class,n_cells
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD106|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD106,ciliated,1868
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD106|club,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD106,club,625
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD66|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD66,ciliated,1082
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD66|club,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD66,club,167
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD67|basal,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD67,basal,46
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD67|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD67,ciliated,312
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD67|club,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD67,club,82
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD68|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD68,ciliated,38
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD68|club,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD68,club,34
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD70|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD70,ciliated,320
