tf,target,z,n_lib,likelihood,libraries,w_contrib
FOXA2,GCNT3,1.2045225038170573,2,0.4998927343533457,"ENCODE_ChIP-seq,ReMap_ChIP-seq",0.602132048023247
FOXA2,PIK3IP1,-0.0944410070429601,2,0.507577533713077,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.047936133436245025
FOXA2,ZBTB40,0.6385661766425438,3,0.5023483857027603,"ENCODE_ChIP-seq,Literature_ChIP-seq,ReMap_ChIP-seq",0.32078268800076554
FOXA2,CAV1,-0.6598894750481583,2,0.5023275555060662,"ENCODE_ChIP-seq,Enrichr_Queries",-0.3314806669051226
FOXA2,KYNU,1.55407987432702,2,0.4857484553084008,"ENCODE_ChIP-seq,ReMap_ChIP-seq",0.7548918983802236
FOXA2,WSB1,0.7441671168887298,2,0.481381785204749,"ENCODE_ChIP-seq,ReMap_ChIP-seq",0.35822849521856787
FOXA2,CREBL2,1.3635325124370716,2,0.4856012807724963,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.6621331344143817
FOXA2,FOXP1,-0.5011566085953603,3,0.4793262497737787,"ENCODE_ChIP-seq,Literature_ChIP-seq,ReMap_ChIP-seq",-0.2402175177473595
FOXA2,ZNF33B,0.0918968773997411,2,0.4704955664589121,"ENCODE_ChIP-seq,GTEx_Coexpression",0.043237073387996386
FOXA2,FTH1,0.8950029993923013,3,0.4690764871761414,"ENCODE_ChIP-seq,Literature_ChIP-seq,ReMap_ChIP-seq",0.41982486296705096
FOXA2,CTSL,-1.1894380370659836,2,0.4658132490521182,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.5540559965918797
FOXA2,GDF15,0.7381057979304039,4,0.46531089241395707,"ENCODE_ChIP-seq,Enrichr_Queries,Literature_ChIP-seq,ReMap_ChIP-seq",0.3434486675309121
FOXA2,GSTO1,-2.080466399375972,3,0.4618769403295526,"ENCODE_ChIP-seq,Literature_ChIP-seq,ReMap_ChIP-seq",-0.9609194550022151
FOXA2,TGFBR2,0.482962101535246,3,0.45972332433890045,"ENCODE_ChIP-seq,Literature_ChIP-seq,ReMap_ChIP-seq",0.22202894284748487
FOXA2,PLXNB1,-0.8501840218750524,2,0.4619076807467536,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.3927065297522527
FOXA2,OAT,-0.4212294988150162,1,0.4546819086711932,ENCODE_ChIP-seq,-0.19152543250982168
FOXA2,PI4KA,1.451560695310251,2,0.4594504787635266,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.6669202564146124
FOXA2,RCL1,-1.324332195958181,2,0.459088054935703,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.6079850919311696
FOXA2,KIF9,0.1910235790541124,2,0.45790518662591273,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.08747068761672314
FOXA2,TSPAN8,2.20348101580667,2,0.4577135778438778,"ENCODE_ChIP-seq,Literature_ChIP-seq",1.0085631794559333
FOXA2,LOXL4,-2.1470806354662355,2,0.45213291786974213,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.9707658326149692
FOXA2,PPP2R5E,0.2407638206336848,2,0.4474828541151603,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.1077376816248318
FOXA2,PGS1,-0.4363770871770764,2,0.44440741627279606,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.1939292138330132
FOXA2,TM9SF3,1.1448440331252332,2,0.44024053182459405,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.5040067459992659
FOXA2,SLC26A2,0.6158582826549216,1,0.4329996248387902,ENCODE_ChIP-seq,0.26666640534344266
FOXA2,SLC25A13,0.5885275805615279,4,0.4360834647798333,"ENCODE_ChIP-seq,GTEx_Coexpression,Literature_ChIP-seq,ReMap_ChIP-seq",0.25664714644976355
FOXA2,IRS2,0.964912013260914,3,0.4360500058681047,"ENCODE_ChIP-seq,Enrichr_Queries,ReMap_ChIP-seq",0.4207498890446263
FOXA2,CDC42EP4,-1.2520133548200088,2,0.4304351429095303,"ENCODE_ChIP-seq,ReMap_ChIP-seq",-0.5389105473065909
FOXA2,RPGR,-0.3788178231587009,2,0.4358525133841318,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.16510870033842534
FOXA2,TMEM98,1.056641481898094,2,0.4344642930972782,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.4590729944901159
FOXA2,AADAC,1.0422628126141296,2,0.425672354601084,"ENCODE_ChIP-seq,ReMap_ChIP-seq",0.4436624655586049
FOXA2,RHPN2,1.6531496367404457,2,0.4241489523589371,"ENCODE_ChIP-seq,ReMap_ChIP-seq",0.7011816865160175
FOXA2,ELOF1,-0.1650531361547486,2,0.4303542561643978,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.07103131963747791
FOXA2,ZNF3,0.1722941958928775,2,0.42473146198306555,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.07317876571277855
FOXA2,ARHGAP1,0.4710925514479082,2,0.422866560099761,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.1992092867193966
FOXA2,BNIP3L,2.0494042715409946,1,0.4158925240579364,ENCODE_ChIP-seq,0.8523319153063007
FOXA2,DHRS3,-0.3400034531869293,4,0.42038366286301676,"ENCODE_ChIP-seq,Enrichr_Queries,Literature_ChIP-seq,ReMap_ChIP-seq",-0.1429318970367956
FOXA2,DHX40,0.4754713075755024,2,0.4201303034527144,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.19975990473475472
FOXA2,SECISBP2,1.1614094570437676,2,0.4190312621161797,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.48666687061871694
FOXA2,IFT20,1.4502411902501882,2,0.4176597996731096,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.6057074449975857
FOXA2,LEO1,-1.149290096621471,2,0.4135488258114075,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.4752875699744884
FOXA2,RALGAPA1,0.6490487842757164,2,0.41245886554188516,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.26770592524370174
FOXA2,USP24,0.8864428046657797,2,0.4116400335065097,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.364895345814226
FOXA2,VPS37C,0.5232118644550598,3,0.4083479416798133,"ENCODE_ChIP-seq,Literature_ChIP-seq,ReMap_ChIP-seq",0.21365248791268115
FOXA2,TUBGCP6,0.7144231699128378,2,0.4093699178715476,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.2924633543927491
FOXA2,PRMT5,-1.5306283257069315,2,0.40647747841925497,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.6221659422304396
FOXA2,BBX,-0.7478170609172978,2,0.40316645429931686,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.3014947529145632
FOXA2,FADS1,0.8256490266521799,1,0.3968703502664273,ENCODE_ChIP-seq,0.3276756184045854
FOXA2,HINT3,1.7761966800927278,2,0.3966159960818833,"ENCODE_ChIP-seq,ReMap_ChIP-seq",0.7044680155123114
FOXA2,SLC38A2,-0.9819248230293232,3,0.39502342017093867,"ENCODE_ChIP-seq,Literature_ChIP-seq,ReMap_ChIP-seq",-0.3878833019437869
FOXA2,BAG1,-0.3556607724156682,1,0.3902944084556571,ENCODE_ChIP-seq,-0.1388124107808553
FOXA2,RTL8A,-0.6710966917851647,1,0.389505122453648,ENCODE_ChIP-seq,-0.26139559911201865
FOXA2,PPP4R3B,0.718292520867508,2,0.3947941165620022,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.28357766120898137
FOXA2,NR2F2,-1.308990889427045,4,0.39440962338517044,"ENCODE_ChIP-seq,Enrichr_Queries,Literature_ChIP-seq,ReMap_ChIP-seq",-0.5162786037135401
FOXA2,ZMIZ1,0.4860696608000873,3,0.3916829334437703,"ENCODE_ChIP-seq,Literature_ChIP-seq,ReMap_ChIP-seq",0.1903851906001966
FOXA2,ALS2,0.6815171369039992,2,0.39347009037639247,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.2681566094506768
FOXA2,ZC3H6,-0.1790762713961436,2,0.39226300665283065,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.07024499663802958
FOXA2,RPL13A,-0.6949409172088942,2,0.3916031008538595,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.27214101808922825
FOXA2,CHST12,-0.4777931632679092,2,0.3909183268899643,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.18677810398415462
FOXA2,GLO1,0.9837911936270878,2,0.3900304325805214,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.38370850481928054
FOXA2,MALAT1,-0.0229151438828466,2,0.3829313478025223,"ENCODE_ChIP-seq,ReMap_ChIP-seq",-0.008774926932147173
FOXA2,MRPS23,-0.6975819434128807,3,0.3855669321262823,"ENCODE_ChIP-seq,Literature_ChIP-seq,ReMap_ChIP-seq",-0.26896452982839425
