study,n_club,n_gob,auroc_margin,auroc_club_only,auroc_goblet_inv,clubscore_in_club,gobscore_in_club,clubscore_in_goblet,gobscore_in_goblet
Banovich_Kropski_2020,813,151,0.6874221060091396,0.7631778304538014,0.4113210006272248,2.3264786265967206,0.7275241515244456,1.6366230021708559,0.6124184804562701
Barbry_Leroy_2020,7095,1116,0.45052904640301483,0.24514790313740054,0.657859161760137,2.174798287682143,0.9090581130898556,2.647178206908621,1.2746994833664227
Krasnow_2020,51,22,0.7647058823529411,0.7620320855614974,0.5008912655971479,1.873506285825602,0.8043255951357822,1.2804154748155812,0.855303313334783
Lafyatis_Rojas_2019,122,21,0.5850897736143639,0.7478532396565184,0.3801717408274785,2.075777710421343,1.1998587088246164,1.4777040428276547,0.8995948534163218
Misharin_2021,23,1112,0.8249530810134501,0.4343916171410697,0.8315999374413512,1.7269912670435053,0.547032675743103,1.768045507834694,1.3923457226107163
Nawijn_2021,1782,651,0.5881877315569072,0.6887142460619162,0.43077558310533226,1.9514896149687495,1.2927078317231202,1.5410356448471683,1.1157006700345327
Seibold_2020,496,2189,0.5781418087504974,0.3900136680469798,0.6882672158446189,0.3496404829845225,0.7187250554369342,0.571873461851687,1.1532442657074753
