contrast,tf,kind,rank,pct,nes,fdr
basal_to_goblet,SPDEF,primary,58.0,3.7809647979139505,3.9284257229493584,0.0244323450398124
basal_to_goblet,FOXA3,secondary,22.0,1.4341590612777053,5.84703063543221,0.0021571605925158
basal_to_goblet,CREB3L1,secondary,32.0,2.0860495436766624,5.218163606600736,0.0021770636411859
basal_to_goblet,XBP1,secondary,4.0,0.2607561929595828,9.445386065000012,1.083816541671432e-05
basal_to_goblet,ELF3,secondary,7.0,0.45632333767926986,8.748386072062662,2.60658062016354e-06
basal_to_goblet,EHF,secondary,695.0,45.30638852672751,-1.9730178917347083,0.3033485846427982
basal_to_goblet,CREB3L4,secondary,2.0,0.1303780964797914,11.526592039776569,1.616622381244304e-11
basal_to_ciliated,FOXJ1,primary,1.0,0.0651890482398957,30.752741630423632,6.685982059882065e-92
basal_to_ciliated,RFX2,secondary,5.0,0.3259452411994785,27.492475709440058,2.8370677054561407e-57
basal_to_ciliated,RFX3,secondary,3.0,0.19556714471968709,28.95921256821053,1.2501208045878019e-76
basal_to_ciliated,TP73,secondary,70.0,4.563233376792699,10.772866033882211,2.842652929086733e-15
basal_to_ciliated,MYB,secondary,38.0,2.4771838331160363,13.00880572017786,4.222517952114225e-11
basal_to_ciliated,E2F4,secondary,1523.0,99.28292046936114,-17.376753162072735,1.5782700487565493e-21
basal_to_ciliated,GMNC,secondary,,,,
