dataset,n_cells,n_genes_in_matrix,median_genes_per_cell,median_counts_per_cell,pct_KRT5_detected,pct_TP63_detected,pct_SCGB1A1_detected,pct_SCGB3A1_detected,pct_MUC5AC_detected,pct_MUC5B_detected,pct_FOXJ1_detected,pct_TFF3_detected,pct_BPIFB1_detected,pct_SPDEF_detected
bronchial_dropseq,77714,26290,418.0,625.0,44.35,4.86,31.83,16.7,0.24,0.53,2.11,2.84,13.65,1.83
nasal_10x,24766,32739,3574.0,18425.0,69.63,25.69,41.06,19.75,7.66,7.0,7.6,9.05,30.35,23.34
