tf,atlas_Donor_1,atlas_Donor_2,resol_Donor_1,resol_Donor_2,n_support,pct_club_mean
ZNF708,False,False,False,False,0,0.285
ZNF813,False,False,False,False,0,0.289
ZNF398,False,False,False,False,0,0.296
POU2F1,False,False,False,False,0,0.296
TMF1,False,False,False,False,0,0.296
MBD6,False,False,False,False,0,0.297
ZNF254,False,False,False,False,0,0.297
ZNF260,False,False,False,False,0,0.299
CC2D1A,False,False,False,False,0,0.301
ELF5,False,False,False,False,0,0.302
CREB1,False,False,False,False,0,0.307
ZNF234,False,False,False,False,0,0.308
ZNF37A,False,False,False,False,0,0.308
THAP4,False,False,False,False,0,0.308
ZNF525,False,False,False,False,0,0.311
AEBP2,False,False,False,False,0,0.313
MBD4,False,False,False,False,0,0.314
ZNF800,False,False,False,False,0,0.315
CGGBP1,False,False,False,False,0,0.315
ZNF512B,False,False,False,False,0,0.317
TCF20,False,False,False,False,0,0.318
ZNF667,False,False,False,False,0,0.321
ZNF121,False,False,False,False,0,0.323
ZNF567,False,False,False,False,0,0.323
BAZ2B,False,False,False,False,0,0.324
SMAD4,False,False,False,False,0,0.325
STAT1,False,False,False,False,0,0.328
ZNF181,False,False,False,False,0,0.329
MYC,False,False,False,False,0,0.329
ZNF134,False,False,False,False,0,0.33
LCOR,False,False,False,False,0,0.331
ZNF292,False,False,False,False,0,0.332
ZNF138,False,False,False,False,0,0.335
PURA,False,False,False,False,0,0.335
ZNF131,False,False,False,False,0,0.335
ZNF577,False,False,False,False,0,0.335
TTF1,False,False,False,False,0,0.336
ZBED2,False,False,False,False,0,0.336
GATAD2A,False,False,False,False,0,0.337
ZNF512,False,False,False,False,0,0.338
ZNF346,False,False,False,False,0,0.341
FLYWCH1,False,False,False,False,0,0.341
ZNF816,False,False,False,False,0,0.343
WIZ,False,False,False,False,0,0.344
NFYB,False,False,False,False,0,0.344
NCOA2,False,False,False,False,0,0.345
MZF1,False,False,False,False,0,0.346
ZNF302,False,False,False,False,0,0.346
ZNF891,False,False,False,False,0,0.347
ZNF334,False,False,False,False,0,0.348
PLAGL2,False,False,False,False,0,0.352
ZNF827,False,False,False,False,0,0.354
GTF3A,False,False,False,False,0,0.355
MAZ,False,False,False,False,0,0.355
ZNF420,False,False,False,False,0,0.357
ZNF598,False,False,False,False,0,0.357
PRDM2,False,False,False,False,0,0.358
REPIN1,False,False,False,False,0,0.358
ZXDC,False,False,False,False,0,0.359
ZSCAN25,False,False,False,False,0,0.359
ZNF880,False,False,False,False,0,0.364
ZNF568,False,False,False,False,0,0.365
ZNF337,False,False,False,False,0,0.365
ZNF281,False,False,False,False,0,0.366
GTF2IRD2,False,False,False,False,0,0.367
KIN,False,False,False,False,0,0.368
YBX1,False,False,False,False,0,0.369
ZNF224,False,False,False,False,0,0.37
TIGD2,False,False,False,False,0,0.371
NFAT5,False,False,False,False,0,0.372
TCF7L1,False,False,False,False,0,0.373
ZNF43,False,False,False,False,0,0.375
SP1,False,False,False,False,0,0.378
PBX1,False,False,False,False,0,0.381
ZNF160,False,False,False,False,0,0.381
ZNF133,False,False,False,False,0,0.382
ZNF506,False,False,False,False,0,0.386
ZFP14,False,False,False,False,0,0.386
ZNF300,False,False,False,False,0,0.386
ZNF165,False,False,False,False,0,0.387
FOXK1,False,False,False,False,0,0.388
PRDM15,False,False,False,False,0,0.393
THRB,False,False,False,False,0,0.394
IRX3,False,False,False,False,0,0.395
ZNF655,False,False,False,False,0,0.396
ZNF566,False,False,False,False,0,0.397
POU2AF1,False,False,False,False,0,0.398
