,"VIPER static
(resolver labels)","VIPER static
(atlas labels)","DREM time course
(nasal)","DREM time course
(bronchial)"
"VIPER static
(resolver labels)",1.0,0.9730151221684527,-0.012725027764318681,0.038097212205805295
"VIPER static
(atlas labels)",0.9730151221684527,0.9999999999999999,0.008681301395554869,0.04106601430230347
"DREM time course
(nasal)",-0.012725027764318681,0.008681301395554869,1.0,0.3367750628151418
"DREM time course
(bronchial)",0.038097212205805295,0.04106601430230347,0.3367750628151418,0.9999999999999999
